account,name,link,keywords,language
@howlettm@mastodon.social,Michael Howlett,https://mastodon.social/@howlettm,policy_design policy_process resource_policy environmental_policy
@amwellstead@mastodon.social,Adam Wellstead,https://mastodon.social/@amwellstead,policy_labs policy_knowledge climate_change forest_policy
@danimmergluck@maston.social,Dan Immergluck,https://maston.social/@danimmergluck,housing_policy affordable_housing neighborhood_change real_estate_finance urban_policy 
@PolicySciences@mastodon.social,Policy Sciences,https://mastodon.social/@PolicySciences,policy_sciences policy_journals policy_studies
@nilsbandelow@mastodon.social,Nils Bandelow,https://mastodon.social/@nilsbandelow,policy_studies policy_theory
@openpolicynz@mastodon.social,Andrew Ecclestone,https://mastodon.social/@openpolicynz,New_Zealand public_policy
@alasdairroberts@mastodon.social,Alasdair Roberts,https://mastodon.social/@alsadairroberts,public_policy public_administration public_management
@zpneal@mastodon.social,Zachary Neal,https://mastodon.socal/@zpneal,Evidence_and_Policy
@mattiaguidi@mastodon.uno,Mattia Guidi,https://mastodon.uno/@mattiaguidi,European_Politics Global_Political_Economy
@KiraM@someone.elses.computer,Kira Matus,https://someone.elses.computer@KiraM,Public_Policy Environment_&_Sustainability Green_Tech
@kohei_suzuki@mastodon.online,Kohei Suzuki,https://mastodon.online@@kohei_suzuki,Bureaucracy Public_Administration
@EmmettMacfarlane@mastodon.social,Emett Macfarlane,https://mastondon.social@EmmettMacfarlane,Canadian_Politics_and_Policy
@EstherTurnhout@mastodon.social,Esther Turnhout,https://mastodon.social@EstherTurnhout,Environmental_Science_&_Policy
@smaideman@mastodon.social,Steve Saideman,https://mastodon.social@smaideman,civil_military_relations
@Annemieke_vandenDool@mastodon.online,Annemieke van den Dool,https://mastodon.online@Annemieke_vandenDool,China Environmental_Policy
@RAWilliams@mstdn.social,Russ Williams,https://mstdn.social@RAWilliams,Canada, banking_policy financial_policy
@inesmergel@mastodon.social,Ines Mergel,https://mastodon.social/@inesmergel,digital_policy governance
@bramverschuere@c.im,Bram Verschuere,https://c.im@bramverschuere,public_administration governance
@MartinLodge@mastodon.world,Martin Lodge,https://mastodon.world@MartinLodge,public_policy public_administration regulation
@AdamSheingate@mas.to,Adam Sheingate,https://mas.to@AdamSheingate,public_policy
@DrRachelEmas@mstdn.social,Rachel Emas,http://mstdn.social@DrRachelEmas,urban_and_food policy
@SteffenEckhard@c.im,Steffen Eckhard,http://c.im@SteffenEckhard,public_policy public_administration
@fgilardi@mastodon.social,Fabrizio Gilardi,http://mastodon.social@fgilardi,digital_politics_and_policy
